,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
345,Wilfred Ndidi\6b47c5db,ng NGA,MFDF,Leicester City,25-104,1996,19,18,1618,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.06,0.00,0.06,0.06,0.06,Matches
346,Tanguy Ndombele\5cdddffa,fr FRA,MF,Tottenham,25-092,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16,Matches
347,Reiss Nelson\c5bdb6e3,eng ENG,FW,Arsenal,22-110,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35,Matches
348,Pedro Neto\7ba2eaa9,pt POR,MFFW,Wolves,22-021,2000,5,1,133,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.27,0.12,0.39,0.27,0.39,Matches
349,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,25-017,1997,28,26,2270,25.2,4,2,4,0,0,9,0,0.16,0.08,0.24,0.16,0.24,1.1,1.1,1.8,2.8,0.04,0.07,0.11,0.04,0.11,Matches
350,Jeremy Ngakia\3631ad41,eng ENG,DF,Watford,21-204,2000,13,6,633,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches
351,Saúl Ñíguez\c14bc029,es ESP,DFMF,Chelsea,27-129,1994,8,4,345,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.04,0.06,0.10,0.04,0.10,Matches
352,Eddie Nketiah\a53649b7,eng ENG,FWMF,Arsenal,22-304,1999,11,0,125,1.4,0,1,0,0,0,1,0,0.00,0.72,0.72,0.00,0.72,0.4,0.4,0.7,1.1,0.29,0.50,0.78,0.29,0.78,Matches
353,Nicolas Nkoulou\93cf32a8,cm CMR,DF,Watford,32-003,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
354,Mark Noble\ff527768,eng ENG,MF,West Ham,34-326,1987,5,1,126,1.4,1,0,0,1,2,0,0,0.71,0.00,0.71,0.00,0.00,1.5,0.0,0.2,0.2,1.09,0.14,1.22,0.00,0.14,Matches
355,Mathias Normann\8996350d,no NOR,MF,Norwich City,25-306,1996,16,13,1069,11.9,1,1,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,0.8,0.8,0.4,1.2,0.06,0.04,0.10,0.06,0.10,Matches
356,Christian Nørgaard\df0a4c90,dk DEN,MF,Brentford,28-020,1994,29,29,2534,28.2,2,2,2,0,0,7,0,0.07,0.07,0.14,0.07,0.14,2.7,2.7,2.2,4.9,0.10,0.08,0.18,0.10,0.18,Matches
357,Angelo Ogbonna\74b2cd7e,it ITA,DF,West Ham,33-311,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
358,Michael Olise\c4486bac,fr FRA,FWMF,Crystal Palace,20-108,2001,22,10,971,10.8,2,5,2,0,0,3,0,0.19,0.46,0.65,0.19,0.65,1.3,1.3,2.9,4.2,0.12,0.27,0.39,0.12,0.39,Matches
359,Andrew Omobamidele\c393a6c4,ie IRL,DF,Norwich City,19-280,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
360,Tyler Onyango\d86a1f3e,eng ENG,MFFW,Everton,19-026,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
361,Frank Onyeka\2944f86f,ng NGA,MF,Brentford,24-088,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.10,0.02,0.11,0.10,0.11,Matches
362,Divock Origi\43a166b4,be BEL,FW,Liverpool,26-346,1995,5,0,76,0.8,2,0,2,0,0,0,0,2.37,0.00,2.37,2.37,2.37,0.8,0.8,0.0,0.8,1.01,0.00,1.01,1.01,1.01,Matches
363,Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,Liverpool,28-227,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,Matches
364,Cole Palmer\dc7f8a28,eng ENG,FWMF,Manchester City,19-328,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,Matches
365,Emerson Palmieri\e0bc6fdc,it ITA,DF,Chelsea,27-239,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
366,Thomas Partey\529f49ab,gh GHA,MF,Arsenal,28-290,1993,23,22,1954,21.7,2,1,2,0,0,5,0,0.09,0.05,0.14,0.09,0.14,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17,Matches
367,João Pedro\e8832875,br BRA,FWMF,Watford,20-185,2001,20,8,1021,11.3,2,1,2,0,0,1,0,0.18,0.09,0.26,0.18,0.26,2.3,2.3,2.0,4.3,0.20,0.18,0.38,0.20,0.38,Matches
368,Nicolas Pépé\57e3f0c7,ci CIV,FWMF,Arsenal,26-305,1995,15,5,604,6.7,1,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,2.6,2.6,1.6,4.3,0.39,0.24,0.63,0.39,0.63,Matches
369,Ricardo Pereira\75a72a99,pt POR,DF,Leicester City,28-175,1993,12,12,880,9.8,1,2,1,0,0,3,0,0.10,0.20,0.31,0.10,0.31,0.7,0.7,1.2,1.8,0.07,0.12,0.19,0.07,0.19,Matches
370,Ayoze Pérez\819aa8e7,es ESP,FWMF,Leicester City,28-250,1993,8,3,220,2.4,0,2,0,0,0,0,1,0.00,0.82,0.82,0.00,0.82,1.0,1.0,0.7,1.7,0.43,0.27,0.69,0.43,0.69,Matches
371,Sonny Perkins\87f12e30,eng ENG,FW,West Ham,18-048,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
372,Romain Perraud\6dfd8f05,fr FRA,DF,Southampton,24-189,1997,15,14,1209,13.4,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,0.5,1.1,0.05,0.04,0.09,0.05,0.09,Matches
373,Kalvin Phillips\4f565d77,eng ENG,MF,Leeds United,26-118,1995,12,12,999,11.1,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,0.2,0.7,0.05,0.02,0.06,0.05,0.06,Matches
374,Jaden Philogene Bidace\19f4d211,eng ENG,FW,Aston Villa,19-316,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
375,Jordan Pickford\4806ec67,eng ENG,GK,Everton,28-023,1994,25,25,2250,25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
376,Erik Pieters\1ef37668,nl NED,DF,Burnley,33-235,1988,11,8,711,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
377,Ethan Pinnock\e541326e,jm JAM,DF,Brentford,28-305,1993,29,29,2494,27.7,1,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,1.5,1.5,1.2,2.8,0.06,0.04,0.10,0.06,0.10,Matches
378,Daniel Podence\7fcc71d8,pt POR,FWMF,Wolves,26-160,1995,24,14,1401,15.6,2,3,2,0,0,2,0,0.13,0.19,0.32,0.13,0.32,1.8,1.8,3.6,5.4,0.12,0.23,0.35,0.12,0.35,Matches
379,Paul Pogba\867239d3,fr FRA,MFFW,Manchester Utd,29-015,1993,16,13,1138,12.6,1,9,1,0,0,6,1,0.08,0.71,0.79,0.08,0.79,2.4,2.4,3.5,5.9,0.19,0.28,0.47,0.19,0.47,Matches
380,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-345,1992,25,25,2250,25.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
381,Teemu Pukki\0745b37d,fi FIN,FW,Norwich City,32-001,1990,28,28,2445,27.2,8,2,5,3,3,4,0,0.29,0.07,0.37,0.18,0.26,7.4,5.1,1.5,6.7,0.27,0.06,0.33,0.19,0.25,Matches
382,Christian Pulisic\1bf33a9a,us USA,MFFW,Chelsea,23-193,1998,15,10,949,10.5,4,1,4,0,0,2,0,0.38,0.09,0.47,0.38,0.47,3.6,3.6,0.7,4.3,0.34,0.07,0.41,0.34,0.41,Matches
383,Przemysław Płacheta\3c33f9d9,pl POL,FWMF,Norwich City,24-007,1998,9,6,443,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.10,0.06,0.16,0.10,0.16,Matches
384,Jesuran Rak Sakyi\45685411,eng ENG,MF,Crystal Palace,19-176,2002,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
385,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-320,1998,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
386,Jacob Ramsey\1544f145,eng ENG,MF,Aston Villa,20-306,2001,27,23,1930,21.4,6,1,6,0,0,5,0,0.28,0.05,0.33,0.28,0.33,3.1,3.1,1.9,5.0,0.15,0.09,0.23,0.15,0.23,Matches
387,Marcus Rashford\a1d5bd30,eng ENG,FWMF,Manchester Utd,24-150,1997,19,10,937,10.4,4,2,4,0,0,2,0,0.38,0.19,0.58,0.38,0.58,2.3,2.3,2.0,4.3,0.22,0.19,0.41,0.22,0.41,Matches
388,Milot Rashica\6c6a3300,xk KVX,FWMF,Norwich City,25-275,1996,23,17,1618,18.0,1,2,1,0,0,0,0,0.06,0.11,0.17,0.06,0.17,2.0,2.0,2.1,4.0,0.11,0.11,0.23,0.11,0.23,Matches
389,David Raya\98ea5115,es ESP,GK,Brentford,26-196,1995,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
390,Nathan Redmond\ab651565,eng ENG,MFFW,Southampton,28-024,1994,20,15,1357,15.1,0,5,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,1.8,1.8,3.6,5.5,0.12,0.24,0.36,0.12,0.36,Matches
391,Sergio Reguilón\3353737a,es ESP,DF,Tottenham,25-104,1996,23,21,1756,19.5,2,3,2,0,0,4,0,0.10,0.15,0.26,0.10,0.26,3.0,3.0,4.0,7.0,0.15,0.20,0.36,0.15,0.36,Matches
392,Declan Rice\1c7012b8,eng ENG,MF,West Ham,23-075,1999,28,28,2520,28.0,1,4,1,0,0,7,0,0.04,0.14,0.18,0.04,0.18,0.8,0.8,1.8,2.6,0.03,0.06,0.09,0.03,0.09,Matches
393,Taylor Richards\e0243d23,eng ENG,MFFW,Brighton,21-116,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches
394,Richarlison\fa031b34,br BRA,FWMF,Everton,24-324,1997,20,18,1635,18.2,4,3,4,0,0,6,0,0.22,0.17,0.39,0.22,0.39,4.2,4.2,1.9,6.1,0.23,0.10,0.34,0.23,0.34,Matches
395,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,25-202,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
396,Matt Ritchie\71ef519e,sct SCO,DF,Newcastle Utd,32-201,1989,16,14,1318,14.6,0,2,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches
397,Connor Roberts\24fae784,wls WAL,DF,Burnley,26-188,1995,11,10,916,10.2,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches
398,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,23-077,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,3.7,0.22,0.11,0.34,0.22,0.34,Matches
399,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,28-019,1994,22,22,1934,21.5,1,10,1,0,0,4,1,0.05,0.47,0.51,0.05,0.51,1.4,1.4,4.8,6.3,0.07,0.23,0.29,0.07,0.29,Matches
400,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,24-159,1997,1,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
401,Rodri\6434f10d,es ESP,MF,Manchester City,25-281,1996,24,24,2102,23.4,3,1,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,1.6,1.6,1.2,2.8,0.07,0.05,0.12,0.07,0.12,Matches
402,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,31-024,1991,23,20,1629,18.1,5,1,4,1,1,8,0,0.28,0.06,0.33,0.22,0.28,3.9,3.1,3.8,6.9,0.21,0.21,0.42,0.17,0.38,Matches
403,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32-244,1989,23,8,946,10.5,1,2,1,0,0,3,0,0.10,0.19,0.29,0.10,0.29,2.5,2.5,1.8,4.3,0.24,0.17,0.41,0.24,0.41,Matches
404,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22-279,1999,16,9,946,10.5,1,1,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09,Matches
405,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23-337,1998,16,15,1304,14.5,1,0,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,Matches
406,Oriol Romeu\4b511457,es ESP,MF,Southampton,30-187,1991,27,27,2314,25.7,1,1,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,0.9,0.9,2.1,3.0,0.04,0.08,0.12,0.04,0.12,Matches
407,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,37-053,1985,24,21,1916,21.3,12,3,10,2,2,5,0,0.56,0.14,0.70,0.47,0.61,13.3,11.8,2.7,14.5,0.63,0.13,0.75,0.55,0.68,Matches
408,Salomón Rondón\b318a643,ve VEN,FW,Everton,32-195,1989,14,8,715,7.9,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,2.0,2.0,0.6,2.6,0.26,0.08,0.33,0.26,0.33,Matches
409,Danny Rose\89d10e53,eng ENG,DF,Watford,31-271,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.9,0.02,0.10,0.12,0.02,0.12,Matches
410,Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,18-334,2003,7,0,104,1.2,0,1,0,0,0,0,0,0.00,0.87,0.87,0.00,0.87,0.2,0.2,0.2,0.4,0.21,0.14,0.35,0.21,0.35,Matches
411,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,29-027,1993,26,26,2340,26.0,2,0,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,1.9,1.9,1.1,2.9,0.07,0.04,0.11,0.07,0.11,Matches
412,Lukas Rupp\3faa1780,de GER,MF,Norwich City,31-081,1991,13,6,586,6.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.11,0.18,0.28,0.11,0.28,Matches
413,José Sá\903b6e8b,pt POR,GK,Wolves,29-072,1993,30,30,2700,30.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03,Matches
414,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,25-018,1997,26,22,2044,22.7,5,3,5,0,0,4,0,0.22,0.13,0.35,0.22,0.35,4.0,4.0,4.5,8.6,0.18,0.20,0.38,0.18,0.38,Matches
415,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,32-004,1990,28,28,2468,27.4,2,0,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,2.3,2.3,0.2,2.5,0.08,0.01,0.09,0.08,0.09,Matches
416,Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,20-206,2001,28,26,2136,23.7,9,5,9,0,0,4,0,0.38,0.21,0.59,0.38,0.59,6.3,6.3,5.6,11.9,0.27,0.23,0.50,0.27,0.50,Matches
417,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29-288,1992,27,25,2260,25.1,20,10,15,5,6,1,0,0.80,0.40,1.19,0.60,1.00,18.9,14.2,8.5,22.7,0.75,0.34,1.09,0.56,0.90,Matches
418,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22-347,1999,27,26,2342,26.0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.5,2.2,0.07,0.02,0.08,0.07,0.08,Matches
419,Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,22-159,1999,14,10,909,10.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.05,0.06,0.11,0.05,0.11,Matches
420,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25-291,1996,18,14,1331,14.8,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,2.0,2.0,0.1,2.2,0.14,0.01,0.15,0.14,0.15,Matches
421,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-132,1997,28,28,2519,28.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches
422,Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,22-005,2000,24,16,1495,16.6,3,3,3,0,0,0,0,0.18,0.18,0.36,0.18,0.36,2.9,2.9,3.8,6.7,0.17,0.23,0.40,0.17,0.40,Matches
423,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,27-224,1994,9,2,285,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
424,Samir Santos\92b4758e,br BRA,DF,Watford,27-115,1994,11,11,989,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
425,Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,22-038,2000,25,18,1558,17.3,2,1,2,0,0,1,0,0.12,0.06,0.17,0.12,0.17,2.7,2.7,0.7,3.5,0.16,0.04,0.20,0.16,0.20,Matches
426,Jeremy Sarmiento\ac0d576d,ec ECU,FW,Brighton,19-287,2002,2,1,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
427,Ismaila Sarr\bfdb33aa,sn SEN,FWMF,Watford,24-033,1998,16,15,1344,14.9,5,1,5,0,1,2,0,0.33,0.07,0.40,0.33,0.40,3.5,2.8,2.2,5.0,0.24,0.15,0.38,0.19,0.33,Matches
428,Malang Sarr\4315f30d,fr FRA,DF,Chelsea,23-066,1999,5,5,420,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.07,0.08,0.01,0.08,Matches
429,Dane Scarlett\21945a9e,eng ENG,MF,Tottenham,18-006,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
430,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,30-100,1991,19,19,1690,18.8,1,2,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,1.1,1.1,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches
431,Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,29-097,1992,23,14,1292,14.4,3,1,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,1.9,1.9,1.1,3.0,0.13,0.07,0.21,0.13,0.21,Matches
432,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-145,1986,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
433,Ken Sema\1770bd68,se SWE,MFFW,Watford,28-181,1993,14,4,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.10,0.11,0.01,0.11,Matches
434,Nélson Semedo\d04b94db,pt POR,DF,Wolves,28-134,1993,23,23,1989,22.1,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.1,2.4,0.06,0.05,0.11,0.06,0.11,Matches
435,Ryan Sessegnon\6aa3e78b,eng ENG,DFMF,Tottenham,21-316,2000,9,7,537,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
436,Jamie Shackleton\8d03ca5a,eng ENG,DFMF,Leeds United,22-173,1999,13,7,686,7.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
437,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26-261,1995,19,18,1556,17.3,0,3,0,0,0,7,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.1,3.3,0.01,0.18,0.19,0.01,0.19,Matches
438,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,30-031,1992,19,17,1533,17.0,2,1,2,0,0,7,1,0.12,0.06,0.18,0.12,0.18,0.8,0.8,0.7,1.5,0.04,0.04,0.09,0.04,0.09,Matches
439,Francisco Sierralta\0f933743,cl CHI,DF,Watford,24-328,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
440,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,27-232,1994,28,28,2406,26.7,7,2,7,0,0,5,0,0.26,0.07,0.34,0.26,0.34,6.4,6.4,4.5,10.9,0.24,0.17,0.41,0.24,0.41,Matches
441,Fábio Silva\e7aa9d7c,pt POR,FWMF,Wolves,19-254,2002,17,2,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.32,0.03,0.35,0.32,0.35,Matches
442,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,37-189,1984,23,20,1913,21.3,3,0,3,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,0.1,0.8,0.03,0.01,0.04,0.03,0.04,Matches
443,Ellis Simms\26d3b5be,eng ENG,FW,Everton,21-084,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
444,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,32-226,1989,27,27,2410,26.8,2,1,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,2.3,2.3,2.4,4.7,0.09,0.09,0.18,0.09,0.18,Matches
445,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,21-195,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
446,William Smallbone\5e105217,ie IRL,MFFW,Southampton,22-037,2000,2,2,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.07,0.14,0.06,0.14,Matches
447,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21-245,2000,24,16,1506,16.7,9,2,9,0,0,0,0,0.54,0.12,0.66,0.54,0.66,4.7,4.7,2.0,6.7,0.28,0.12,0.40,0.28,0.40,Matches
448,Cédric Soares\839c14e1,pt POR,DF,Arsenal,30-211,1991,11,9,832,9.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.07,0.02,0.07,Matches
449,Tomáš Souček\6613c819,cz CZE,MF,West Ham,27-031,1995,28,28,2508,27.9,4,1,4,0,0,2,0,0.14,0.04,0.18,0.14,0.18,4.2,3.8,1.4,5.2,0.15,0.05,0.20,0.14,0.19,Matches
450,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,23-031,1999,18,11,1036,11.5,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matches
451,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25-311,1996,24,24,2137,23.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.1,1.5,0.06,0.00,0.06,0.06,0.06,Matches
452,Jason Steele\28300a16,eng ENG,GK,Brighton,31-224,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
453,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-188,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
454,Zack Steffen\42130443,us USA,GK,Manchester City,26-362,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
